Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Symbol
2024-10-07,7.3,7.45,7.22,7.27,218000,0.0,0.0,DOMO
2024-10-04,7.34,7.39,6.99,7.07,361100,0.0,0.0,DOMO
2024-10-03,7.03,7.13,6.99,7.12,229900,0.0,0.0,DOMO
2024-10-02,7.19,7.3,6.98,7.06,338200,0.0,0.0,DOMO
2025-10-01,244.9,246.3,238.61,240.75,31635500,0.0,0.0,GOOGL
2025-09-30,243.1,243.29,239.25,242.81,34724300,0.0,0.0,GOOGL
2025-09-29,244.05,251.15,242.77,247.85,32505800,0.0,0.0,GOOGL
2025-09-26,246.54,249.42,245.97,247.07,18503200,0.0,0.0,GOOGL
2025-09-25,245.79,246.49,240.74,244.4,31020400,0.0,0.0,GOOGL
2025-09-24,247.14,252.35,246.44,251.66,28201000,0.0,0.0,GOOGL
2025-09-23,251.66,254.36,250.48,253.04,26628000,0.0,0.0,GOOGL
2025-09-22,252.53,255.78,250.3,254.43,32290500,0.0,0.0,GOOGL
2025-09-19,254.72,256.0,251.81,253.25,55571400,0.0,0.0,GOOGL
2025-09-18,252.03,253.99,249.8,251.68,31239500,0.0,0.0,GOOGL
2025-09-17,249.53,251.6,246.28,251.22,34108000,0.0,0.0,GOOGL
2025-09-16,251.16,253.04,249.47,252.08,34109700,0.0,0.0,GOOGL
2025-09-15,251.61,252.41,244.66,244.66,58383800,0.0,0.0,GOOGL
2025-09-12,240.8,242.08,238.0,240.37,26771600,0.0,0.0,GOOGL
2025-09-11,240.37,242.25,236.25,239.88,30599300,0.0,0.0,GOOGL
2025-09-10,239.17,241.66,237.85,238.9,35141100,0.0,0.0,GOOGL
2025-09-09,239.63,240.47,233.23,234.17,38061000,0.0,0.0,GOOGL
2025-09-08,234.04,238.13,233.67,235.47,32474700,0.21,0.0,GOOGL
2025-09-05,234.79,235.55,231.69,231.99,46588900,0.0,0.0,GOOGL
2025-09-04,232.09,232.16,225.91,229.44,51684200,0.0,0.0,GOOGL
2025-09-03,230.45,231.1,224.59,226.01,103336100,0.0,0.0,GOOGL
2025-09-02,211.16,211.49,206.02,208.25,47523000,0.0,0.0,GOOGL
2025-08-29,212.72,214.46,210.01,210.32,39728400,0.0,0.0,GOOGL
2025-08-28,211.45,212.03,206.72,207.06,32339300,0.0,0.0,GOOGL
2025-08-27,207.29,208.72,205.47,205.52,23022900,0.0,0.0,GOOGL
2025-08-26,206.95,207.66,205.52,207.32,28464100,0.0,0.0,GOOGL
2025-08-25,208.3,210.33,205.1,206.25,29928900,0.0,0.0,GOOGL
2025-08-22,205.91,208.35,201.12,202.55,42827000,0.0,0.0,GOOGL
2025-08-21,199.57,202.3,199.25,199.57,19774600,0.0,0.0,GOOGL
2025-08-20,199.14,201.1,196.42,200.55,28955500,0.0,0.0,GOOGL
2025-08-19,201.39,203.26,199.78,202.85,24240200,0.0,0.0,GOOGL
2025-08-18,203.32,205.09,202.31,204.02,18526600,0.0,0.0,GOOGL
2025-08-15,203.72,206.26,201.1,203.67,34931400,0.0,0.0,GOOGL
2025-08-14,202.76,204.26,201.05,201.32,25230400,0.0,0.0,GOOGL
2025-08-13,201.78,204.35,197.33,203.95,28342900,0.0,0.0,GOOGL
2025-08-12,203.16,204.32,200.41,201.19,30397900,0.0,0.0,GOOGL
2025-08-11,200.82,201.3,198.89,200.76,25832400,0.0,0.0,GOOGL
2025-08-08,201.24,202.43,196.99,197.04,39161800,0.0,0.0,GOOGL
2025-08-07,196.34,197.36,194.16,196.88,26321800,0.0,0.0,GOOGL
2025-08-06,195.91,196.45,193.5,194.33,21562900,0.0,0.0,GOOGL
2025-08-05,194.5,197.68,193.72,194.54,31602300,0.0,0.0,GOOGL
2025-08-04,194.87,195.1,189.95,190.12,31547400,0.0,0.0,GOOGL
2025-08-01,188.96,190.66,187.65,188.86,34832200,0.0,0.0,GOOGL
2025-07-31,191.73,195.81,190.92,195.54,51329200,0.0,0.0,GOOGL
2025-07-30,196.35,197.42,194.52,195.43,32445400,0.0,0.0,GOOGL
2025-07-29,195.58,195.74,191.91,192.26,41389200,0.0,0.0,GOOGL
