Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-09-05,55.38,57.1,54.59,56.78,29100,0.0,0.0,0.0
2024-09-04,55.14,55.36,51.64,52.61,40700,0.0,0.0,0.0
2024-09-03,51.02,53.49,51.02,53.21,20500,2.005,0.0,0.0
2024-08-30,49.89,53.04,49.33,50.4,33400,0.0,0.0,0.0
2024-08-29,47.93,50.05,46.89,49.57,6400,0.0,0.0,0.0
2024-08-28,49.83,51.9,49.15,50.15,34000,0.0,0.0,0.0
2024-08-27,46.32,48.26,46.32,47.67,12300,0.0,0.0,0.0
2024-08-26,42.79,44.49,42.75,44.45,29500,0.0,0.0,0.0
2024-08-23,45.57,46.28,42.14,42.14,46700,0.0,0.0,0.0
2024-08-22,46.78,47.91,46.78,47.46,27600,0.0,0.0,0.0
2024-08-21,49.58,49.58,45.76,45.81,10500,0.0,0.0,0.0
2024-08-20,46.48,48.77,45.83,47.64,10400,0.0,0.0,0.0
2024-08-19,48.28,48.93,46.85,47.35,16900,0.0,0.0,0.0
2024-08-16,47.2,49.17,46.58,46.74,47800,0.0,0.0,0.0
2024-08-15,46.04,50.33,45.54,49.52,25500,0.0,0.0,0.0
2024-08-14,44.84,46.76,44.84,45.55,12400,0.0,0.0,0.0
2024-08-13,45.99,46.91,43.62,44.15,16900,0.0,0.0,0.0
2024-08-12,45.03,48.46,43.68,46.16,42300,0.0,0.0,0.0
2024-08-09,47.49,48.68,46.06,48.49,10900,0.0,0.0,0.0
2024-08-08,55.5,56.84,48.08,49.06,23700,0.0,0.0,0.0
2024-08-07,56.55,60.69,56.55,60.5,13000,0.0,0.0,0.0
2024-08-06,56.7,56.7,51.57,54.3,11500,0.0,0.0,0.0
2024-08-05,64.27,64.27,55.49,58.42,56000,0.0,0.0,0.0
2024-08-02,38.24,42.03,37.52,41.77,35500,0.0,0.0,0.0
2024-08-01,37.98,39.52,37.98,38.66,4000,0.68,0.0,0.0
2024-07-31,34.88,35.74,34.82,35.73,9200,0.0,0.0,0.0
2024-07-30,35.43,35.55,35.2,35.55,2300,0.0,0.0,0.0
2024-07-29,33.53,35.11,33.42,34.73,3200,0.0,0.0,0.0
2024-07-26,36.14,36.14,35.16,35.43,1800,0.0,0.0,0.0
2024-07-25,38.47,39.34,38.37,39.34,16600,0.0,0.0,0.0
2024-07-24,32.35,34.25,32.35,34.25,6400,0.0,0.0,0.0
2024-07-23,32.24,33.36,31.77,32.48,12100,0.0,0.0,0.0
2024-07-22,32.51,32.52,31.68,31.68,6400,0.0,0.0,0.0
2024-07-19,31.77,31.77,30.87,31.15,1000,0.0,0.0,0.0
2024-07-18,32.69,34.22,32.69,33.53,16000,0.0,0.0,0.0
2024-07-17,32.97,33.76,32.93,33.26,1800,0.0,0.0,0.0
2024-07-16,33.45,33.45,32.09,32.16,5400,0.0,0.0,0.0
2024-07-15,35.16,35.16,33.17,33.62,5700,0.0,0.0,0.0
2024-07-12,41.25,41.25,40.53,41.24,9100,0.0,0.0,0.0
2024-07-11,39.5,41.57,39.5,41.57,2100,0.0,0.0,0.0
2024-07-10,41.4,41.9,41.4,41.61,1500,0.0,0.0,0.0
2024-07-09,42.91,43.41,41.71,42.68,3600,0.0,0.0,0.0
2024-07-08,43.7,47.55,43.7,44.41,12000,0.0,0.0,0.0
2024-07-05,45.42,45.42,44.95,44.96,8800,0.0,0.0,0.0
2024-07-03,37.45,37.7,37.34,37.46,3200,0.0,0.0,0.0
2024-07-02,35.3,35.59,35.07,35.33,6100,0.0,0.0,0.0
2024-07-01,34.28,34.28,34.14,34.14,700,0.156,0.0,0.0
2024-06-28,34.56,36.35,34.56,36.35,6900,0.0,0.0,0.0
2024-06-27,34.8,34.82,34.4,34.73,10900,0.0,0.0,0.0
2024-06-26,36.64,36.92,35.58,35.58,2300,0.0,0.0,0.0
2024-06-25,36.01,36.01,35.33,35.33,3200,0.0,0.0,0.0
2024-06-24,37.77,38.26,37.77,38.26,5500,0.0,0.0,0.0
2024-06-21,34.67,34.96,33.65,33.65,11700,0.0,0.0,0.0
2024-06-20,33.41,34.18,33.41,33.78,700,0.0,0.0,0.0
2024-06-18,36.74,36.74,36.11,36.2,500,0.0,0.0,0.0
2024-06-17,34.55,34.74,33.43,33.45,2800,0.0,0.0,0.0
2024-06-14,36.41,36.65,36.41,36.65,500,0.0,0.0,0.0
2024-06-13,34.68,35.72,34.68,35.06,1000,0.0,0.0,0.0
2024-06-12,32.02,34.34,31.94,34.2,5000,0.0,0.0,0.0
2024-06-11,34.78,34.78,34.78,34.78,100,0.0,0.0,0.0
2024-06-10,31.71,31.71,31.71,31.71,200,0.0,0.0,0.0
2024-06-07,29.34,31.38,29.31,31.38,1100,0.0,0.0,0.0
